Time,Mel_Reg,Opp_Reg,Type,Opposition,H_A,Date
1,N,N,,SA,A,14/12/2020
2,N,N,,SA,A,14/12/2020
3,D,N,Cross,SA,A,14/12/2020
4,N,N,,SA,A,14/12/2020
5,N,N,,SA,A,14/12/2020
6,F,N,DAP,SA,A,14/12/2020
7,N,F,Shot,SA,A,14/12/2020
8,N,N,,SA,A,14/12/2020
9,N,N,,SA,A,14/12/2020
10,N,N,,SA,A,14/12/2020
11,N,F,DAP,SA,A,14/12/2020
12,N,N,,SA,A,14/12/2020
13,N,N,,SA,A,14/12/2020
14,N,N,,SA,A,14/12/2020
15,N,N,,SA,A,14/12/2020
16,N,N,,SA,A,14/12/2020
17,Corner,N,Corner,SA,A,14/12/2020
18,N,N,,SA,A,14/12/2020
19,N,N,,SA,A,14/12/2020
20,N,N,,SA,A,14/12/2020
21,N,N,,SA,A,14/12/2020
22,E,N,Unspecified,SA,A,14/12/2020
23,N,N,,SA,A,14/12/2020
24,N,N,,SA,A,14/12/2020
25,N,N,,SA,A,14/12/2020
26,N,N,,SA,A,14/12/2020
27,N,N,,SA,A,14/12/2020
28,N,N,,SA,A,14/12/2020
29,N,N,,SA,A,14/12/2020
30,A,N,Header,SA,A,14/12/2020
31,N,N,,SA,A,14/12/2020
32,N,N,,SA,A,14/12/2020
33,N,Corner,Corner,SA,A,14/12/2020
34,N,N,,SA,A,14/12/2020
35,N,N,,SA,A,14/12/2020
36,N,N,,SA,A,14/12/2020
37,N,N,,SA,A,14/12/2020
38,N,N,,SA,A,14/12/2020
39,F,N,DAP,SA,A,14/12/2020
40,N,N,,SA,A,14/12/2020
41,N,F,Cross,SA,A,14/12/2020
42,N,N,,SA,A,14/12/2020
43,N,D,Shot,SA,A,14/12/2020
44,N,E,DAP,SA,A,14/12/2020
45,N,E,DAP,SA,A,14/12/2020
46,N,Corner,Corner,SA,A,14/12/2020
47,N,N,,SA,A,14/12/2020
48,N,N,,SA,A,14/12/2020
49,E,N,FK,SA,A,14/12/2020
50,N,N,,SA,A,14/12/2020
51,N,A+,Shot,SA,A,14/12/2020
52,N,N,,SA,A,14/12/2020
53,N,N,,SA,A,14/12/2020
54,N,N,,SA,A,14/12/2020
55,Corner,N,Corner,SA,A,14/12/2020
56,F,N,Cross,SA,A,14/12/2020
57,N,F,Unspecified,SA,A,14/12/2020
58,N,N,,SA,A,14/12/2020
59,N,F,Unspecified,SA,A,14/12/2020
60,N,E,Shot,SA,A,14/12/2020
61,N,N,,SA,A,14/12/2020
62,N,N,,SA,A,14/12/2020
63,Corner,N,Corner,SA,A,14/12/2020
64,N,N,,SA,A,14/12/2020
65,N,N,,SA,A,14/12/2020
66,E,N,FK,SA,A,14/12/2020
67,N,N,,SA,A,14/12/2020
68,N,Corner,Corner,SA,A,14/12/2020
69,N,N,,SA,A,14/12/2020
70,N,F,DAP,SA,A,14/12/2020
71,N,N,,SA,A,14/12/2020
72,N,C,Shot,SA,A,14/12/2020
73,N,F,Shot,SA,A,14/12/2020
74,N,N,,SA,A,14/12/2020
75,N,N,,SA,A,14/12/2020
76,F,N,Through Ball,SA,A,14/12/2020
77,N,F,Unspecified,SA,A,14/12/2020
78,N,E,Unspecified,SA,A,14/12/2020
79,E,N,Cross,SA,A,14/12/2020
80,N,D,Unspecified,SA,A,14/12/2020
81,N,N,,SA,A,14/12/2020
82,N,N,,SA,A,14/12/2020
83,N,N,,SA,A,14/12/2020
84,F,N,FK,SA,A,14/12/2020
85,N,F,Unspecified,SA,A,14/12/2020
86,F,N,Unspecified,SA,A,14/12/2020
